Symbol,Company Name,Current Price,Previous Close,% Change,Day High,Day Low,52 Week High,52 Week Low,Volume,Avg Volume,Market Cap,P/E Ratio,Forward P/E,PEG Ratio,P/B Ratio,Beta,Shares Outstanding,Float Shares,Short Ratio,Book Value,EPS,Revenue Growth,Earnings Growth,ROE,ROA,Operating Margin,Profit Margin,Debt to Equity,Current Ratio,Quick Ratio,Dividend Yield,Dividend Rate,Payout Ratio,Industry,Sector,Website,Country,Exchange,Currency,Data Source,Timestamp,Requested Name,Requested Symbols
542012.BO,A-1 Limited,343.95,N/A,0.13%,N/A,N/A,415.0,290.35,0,0,₹3.96B,143.3125,N/A,N/A,8.300753,N/A,11.50M,0,N/A,41.436,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,India,BSE,INR,Yahoo Finance,2026-01-06 00:58:48,A-1 Limited,542012.BO
542012.BO,A-1 Limited,343.95,N/A,0.13%,N/A,N/A,415.0,290.35,0,0,₹3.96B,143.3125,N/A,N/A,8.300753,N/A,11.50M,0,N/A,41.436,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,India,BSE,INR,Yahoo Finance,2026-01-06 02:08:57,A-1 Limited,542012.BO
